"category","name","enabled","projectId","fileId","fileName","required","distributionAllowed","projectUrl"
"mods","FancyMenu","True","367706","7256735","fancymenu_forge_3.8.1_MC_1.20.1.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/fancymenu"
"mods","Farmer's Delight","False","398521","6917255","FarmersDelight-1.20.1-1.2.9.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/farmers-delight"
"mods","Fast Async World Save[Forge/Fabric]","False","951499","6935203","fastasyncworldsave-1.20.1-2.6.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/fast-async-world-save-forge-fabric"
"mods","FLIB","False","661261","6369719","flib-1.20.1-0.0.15.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/flib"
"mods","GeckoLib","True","388172","7025129","geckolib-forge-1.20.1-4.8.2.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/geckolib"
"mods","GlitchCore","False","955399","5787839","GlitchCore-forge-1.20.1-0.0.1.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/glitchcore"
"mods","Goblin's Tyranny","False","1020500","5651594","goblins_tyranny-1.2.3-forge-1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/goblins-tyranny"
"mods","GottschCore","False","272450","7069162","gottschcore-1.20.1-2.5.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/gottschcore"
"mods","Hole Filler Mod","False","440585","4588152","hole_filler_mod-1.2.8_mc-1.20.1_forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/hole-filler-mod"
"mods","HT's TreeChop","False","421377","5565422","TreeChop-1.20.1-forge-0.19.0-fixed.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/treechop"
"mods","Iceberg [Neo/Forge]","False","520110","5838149","Iceberg-1.20.1-forge-1.1.25.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/iceberg"
"mods","Iris/Oculus & GeckoLib Compat","False","959388","5018199","GeckoLibOculusCompat-Forge-1.0.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/geckoanimfix"
"mods","Just Enough Items (JEI)","False","238222","6600311","jei-1.20.1-forge-15.20.0.112.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/jei"
"mods","Konkrete","True","410295","5028413","konkrete_forge_1.8.0_MC_1.20-1.20.1.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/konkrete"
"mods","L_Ender 's Cataclysm","False","551586","6906993","L_Enders_Cataclysm-3.16.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/lendercataclysm"
"mods","Legendary Additions","False","827467","6789430","legendary_additions-1.20.1-1.0.13.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/legendary-additions"
"mods","Library of Exile","True","398780","7167023","Library_of_Exile-1.20.1-2.1.5.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/library-of-exile"
"mods","Lionfish API","False","1001614","5922047","lionfishapi-2.4-Fix.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/lionfish-api"
"mods","Lootr (Forge & NeoForge)","False","361276","7263076","lootr-forge-1.20-0.7.35.94.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/lootr"
"mods","Melody","True","938643","5109692","melody_forge_1.0.3_MC_1.20.1-1.20.4.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/melody"
"mods","Mine and Meals","False","1164467","7285403","mine_and_meals-0.60.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/mine-and-meals"
"mods","Mine and Slash","True","306575","7190361","Mine_and_Slash-1.20.1-6.3.14.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/mine-and-slash-reloaded"
"mods","Mine and Slash Compatibility","True","1169343","6045369","Mine_and_lash-Compatibility-1.20.1-1.0.0.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/mine-and-slash-compatibility"
"mods","Mine and Slash Extras","True","1294570","6701229","mns_extras-0.2-1.20.1.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/mine-and-slash-extras"
"mods","MNS - Moog's Nether Structures","False","967466","7228596","MoogsNetherStructures-1.20-2.0.2.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/mns-moogs-nether-structures"
"mods","Mob Despawn Timers","False","830782","4711367","MobDespawnTimers-1.20.1-3.0.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/mob-despawn-timers"
"mods","Moog's Structure Lib (moogs_structures)","False","1337167","7238548","moogs_structure_lib-1.1.0-1.20-1.20.4-forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/moogs-structure-lib"
"mods","MrCrayfish's Furniture Mod (Legacy)","False","55438","4602980","cfm-forge-1.20.1-7.0.0-pre36.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/mrcrayfish-furniture-mod"
"mods","Necronomicon API","False","586157","5772681","Necronomicon-Forge-1.6.0+1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/necronomicon"
"mods","Not Enough Crashes (Forge)","False","442354","6598273","notenoughcrashes-4.4.9+1.20.1-forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/not-enough-crashes-forge"
"mods","Oculus","False","581495","6020952","oculus-mc1.20.1-1.8.0.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/oculus"
"mods","Open Loader","True","354339","5368592","OpenLoader-Forge-1.20.1-19.0.4.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/open-loader"
"mods","Origins (Forge)","False","474438","5314209","origins-forge-1.20.1-1.10.0.9-all.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/origins-forge"
"mods","ParCool! ~ Minecraft Parkour ~","False","482378","7245082","ParCool-1.20.1-3.4.2.0.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/parcool"
"mods","Patchouli","False","306770","6164575","Patchouli-1.20.1-84.1-FORGE.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/patchouli"
"mods","Pehkui","False","319596","5393101","Pehkui-3.8.2+1.20.1-forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/pehkui"
"mods","Player Trade - Secure Trading Between Players","False","499619","6844995","playertrade-1.20.1-c.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/player-trade"
"mods","playerAnimator","True","658587","4587214","player-animation-lib-forge-1.0.2-rc1+1.20.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/playeranimator"
"mods","Prism [Neo/Forge]","False","638111","4650325","Prism-1.20.1-forge-1.0.5.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/prism-lib"
"mods","project-916544","False","916544","5017341","soul_like_armors_reworked_1.20.1_(v140).jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/project-916544"
"mods","Puzzles Lib","False","495476","6918565","PuzzlesLib-v8.1.33-1.20.1-Forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/puzzles-lib"
"mods","Recreation of Exile - Weapons","True","1182717","6800846","RoE_Weapons-0.1.7.jar","True","False","https://www.curseforge.com/minecraft/mc-mods/roe-weapons"
"mods","RPG Origins","False","638230","6675537","RPG Origins Forge 1.4.4.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/rpg-origins"
"mods","Shoulder Surfing Reloaded","False","243190","7305583","ShoulderSurfing-Forge-1.20.1-4.17.0.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/shoulder-surfing-reloaded"
"mods","Simple Voice Chat","True","416089","7343746","voicechat-forge-1.20.1-2.6.9.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/simple-voice-chat"
"mods","Simply Swords [Fabric & Forge]","False","659887","5639538","simplyswords-forge-1.56.0-1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/simply-swords"
"mods","Simply Tokens or Coins","False","943785","5841829","SimplyTokens-1.20.1-1.1.2.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/simply-tokens-or-coins"
"mods","Sodium/Embeddium Options API","False","1103431","6100812","sodiumoptionsapi-forge-1.0.10-1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/sodium-options-api"
"mods","Souls-like universe: Epic Fight updated","False","1084847","5641181","slutemp_0.0.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/souls-like-universe-epic-fight-updated"
"mods","Tectonic","True","686836","5676419","tectonic-forge-1.20.1-2.4.1.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/tectonic"
"mods","TerraBlender (Forge)","False","563928","6290448","TerraBlender-forge-1.20.1-3.0.1.10.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/terrablender"
"mods","The Graveyard (FORGE/NEOFORGE)","False","531188","5114579","The_Graveyard_3.1_(FORGE)_for_1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/the-graveyard-forge"
"mods","The Harvest","True","1201731","7186998","The-Harvest-1.20.1-1.1.3.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/the-harvest"
"mods","Torchmaster","False","254268","5849456","torchmaster-20.1.9.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/torchmaster"
"mods","Twilight Lib","False","1019545","6523911","twilight_lib-1.20.1-1.1.1.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/twilight-lib"
"mods","Uchicraftana - Epic Fight Crafting recipes for Epic Fight and Weapons of Miracles","False","1014685","5601830","uchicraftana-1.0.1-forge-1.20.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/uchicraftana-efc"
"mods","Waystones","False","245755","6856603","waystones-forge-1.20.1-14.1.17.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/waystones"
"mods","Weapons of Miracles - epic fight","True","918614","5889471","WeaponsOfMiracles-20.1.8.5.6.jar","True","True","https://www.curseforge.com/minecraft/mc-mods/weapons-of-miracles-epicfight"
"mods","When Dungeons Arise - Forge!","False","442508","4983862","DungeonsArise-1.20.x-2.1.58-release.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/when-dungeons-arise"
"mods","WorldEdit","False","225608","4586218","worldedit-mod-7.2.15.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/worldedit"
"mods","Xaero's World Map","False","317780","6778091","XaerosWorldMap_1.39.12_Forge_1.20.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/xaeros-world-map"
"mods","XP Tome","False","344787","5465675","xptome-1.20.1-2.2.1.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/xp-tome"
"mods","YetAnotherConfigLib","False","667299","6336646","yet_another_config_lib_v3-3.6.6+1.20.1-forge.jar.disabled","True","True","https://www.curseforge.com/minecraft/mc-mods/yacl"
"resourcepacks","Excalibur","True","326818","4724952","Excalibur_V1.20.zip","True","True","https://www.curseforge.com/minecraft/texture-packs/excalibur"
"resourcepacks","Motschen's Better Leaves","True","380969","7039286","Better-Leaves-9.4.zip","True","True","https://www.curseforge.com/minecraft/texture-packs/motschens-better-leaves"
"shaderpacks","Complementary Shaders - Reimagined","True","627557","6515577","ComplementaryReimagined_r5.5.1.zip","False","True","https://www.curseforge.com/minecraft/shaders/complementary-reimagined"
"shaderpacks","Complementary Shaders - Unbound","True","385587","6515579","ComplementaryUnbound_r5.5.1.zip","False","True","https://www.curseforge.com/minecraft/shaders/complementary-unbound"
