"FileName","Server","EmbeddedClient","CurrentLauncher"
"fast_tpa-forge1.20.1-1754790334-1.2.1.jar","True","True","False"
"FastEvent-1.20.1-1.1.1.jar","True","True","False"
"fdlib-1.0.8-1.20.1.jar","True","True","False"
"ferritecore-6.0.1-forge.jar","True","True","False"
"flerovium-forge-1.20.1-1.2.18-all.jar","False","True","False"
"fluid-tick-structure-processor-0.1.0.dirty-forge-1.20.1.jar","True","True","False"
"FramedBlocks-9.4.2.jar","True","True","False"
"fruitsdelight-1.1.1.jar","True","True","False"
"ftb-essentials-forge-2001.2.4.jar","True","True","False"
"ftb-library-forge-2001.2.12.jar","True","True","False"
"ftb-quests-forge-2001.4.18.jar","True","True","False"
"ftb-teams-forge-2001.3.2.jar","True","True","False"
"ftb-xmod-compat-forge-2.1.3.jar","True","True","False"
"fullstackwatchdog-1.0.1+1.19.2-forge.jar","True","False","False"
"geckolib-forge-1.20.1-4.8.2.jar","False","False","True"
"geckolib-forge-1.20.1-4.8.3.jar","True","True","False"
"globalshaderpackproperties-1.1.0-all.jar","False","True","False"
"gnetum-2.4.1.jar","False","True","False"
"GPUTape-1.18x-1.21x-1.0.5.1-forge.jar","False","True","False"
"HungerStrike-1.20.1-8.0.0.jar","True","True","False"
"Iceberg-1.20.1-forge-1.1.25.jar","True","True","False"
"immersive_optimization-forge-1.20.1-0.1.4.jar","True","True","False"
"incontrol-1.20-9.4.6.jar","True","True","False"
"indestructible-20.13.0.jar","True","True","False"
"InvMove-0.9.3+1.20.1-Forge.jar","False","True","False"
"irons_spellbooks-stub-0.0.0.jar","True","True","False"
"ItemBorders-1.20.1-forge-1.2.2.jar","False","True","False"
"Jade-1.20.1-Forge-11.13.2.jar","True","True","False"
"JadeAddons-1.20.1-Forge-5.5.0.jar","True","True","False"
"jecharacters-1.20.1-forge-4.6.3.jar","False","True","False"
"jei-1.20.1-forge-15.20.0.129.jar","True","True","False"
"JustEnoughResources-1.20.1-1.4.0.247.jar","True","True","False"
"Kambrik-6.1.1+1.20.1-forge.jar","True","True","False"
"killcam-1.0.2.jar","True","False","False"
"killcam-1.0.3.jar","False","True","False"
"konkrete_forge_1.8.0_MC_1.20-1.20.1.jar","False","True","True"
"kotlinforforge-4.12.0-all.jar","True","True","False"
"Krypton FNP-forge-1.20.1-0.2.28.2-1.20.1.jar","True","True","False"
"kubejs-forge-2001.6.5-build.16.jar","True","True","False"
"L_Enders_Cataclysm-3.16.jar","True","True","False"
"lang_amend-forge1.20.1-1.0.0-all.jar","False","True","False"
"lazyyyyy-lexforge-core-0.14.19.jar","True","True","False"
"LegendaryTooltips-1.20.1-forge-1.4.5.jar","False","True","False"
"Library_of_Exile-1.20.1-2.1.5.jar","True","True","True"
"lightmanscurrency-1.20.1-2.3.0.0a.jar","True","True","False"
"limitedchunks-1.20.1-4.1.jar","True","True","False"
"lionfishapi-2.4-Fix.jar","True","True","False"
"lithostitched-forge-1.20.1-1.4.11.jar","True","True","False"
"Log-Begone-Forge-1.20.1-1.0.8.jar","True","False","False"
"lootr-forge-1.20-0.7.35.94.jar","True","True","False"
"lost_aether_content-1.20.1-1.2.3.jar","True","True","False"
"melody_forge_1.0.3_MC_1.20.1-1.20.4.jar","False","True","True"
"mimic-1.0.5.jar","True","True","False"
"Mine_and_lash-Compatibility-1.20.1-1.0.0.jar","True","True","True"
"mine_and_meals-0.60.jar","True","True","False"
"Mine_and_Slash-1.20.1-6.3.14.jar","True","True","True"
"mixin-booster-0.1.3+1.20.1.jar","True","True","False"
"mns_extras-0.2-1.20.1.jar","False","False","True"
"modernfix-forge-5.26.2+mc1.20.1.jar","True","True","False"
"ModernUI-Forge-1.20.1-3.12.0.1-universal.jar","False","True","False"
"moonlight-1.20-2.16.28-forge.jar","True","True","False"
"MouseTweaks-forge-mc1.20.1-2.25.1.jar","False","True","False"
"mowziesmobs-1.7.3.jar","True","True","False"
"Nightfall Enhance-1.0.7.jar","True","True","False"
"noworldgenwarning-1.0.0.jar","True","True","False"
"obscure_api-18.jar","True","True","False"
"oculus-mc1.20.1-1.8.0.jar","False","True","False"
"Oh-The-Biomes-Weve-Gone-Forge-1.7.5.jar","True","True","False"
"Oh-The-Trees-Youll-Grow-forge-1.20.1-1.5.0.jar","True","True","False"
"OpenLoader-Forge-1.20.1-19.0.4.jar","False","False","True"
"OpenLoader-Forge-1.20.1-19.0.5.jar","True","True","False"
"p1nero_bow-forge1.20.1-20.14.1.6.jar","True","True","False"
"p1nero_ec-20.14.0.7.jar","True","True","False"
"p1neros-dialogue-lib-2.3.0-mc1.20.1-forge.jar","True","True","False"
"packetfixer-3.3.1-1.18-1.20.4-merged.jar","True","True","False"
"pandalib-forge-mc1.20-0.5.2-SNAPSHOT.jar","True","True","False"
"Patchouli-1.20.1-85-FORGE.jar","True","True","False"
"pbf1-1.1.2.jar","True","True","False"
"Placebo-1.20.1-8.6.3.jar","True","True","False"
"player-animation-lib-forge-1.0.2-rc1+1.20.jar","True","True","True"
"preloading-tricks-3.5.8.jar","False","True","False"
"Prism-1.20.1-forge-1.0.5.jar","True","True","False"
"PuzzlesLib-v8.1.33-1.20.1-Forge.jar","True","True","False"
"Quark-4.0-462.jar","True","True","False"
"quick-pack-forge-1.2.1+1.20.1-all.jar","True","True","False"
"radiantgear-forge-2.2.0+1.20.1.jar","True","True","False"
"rebind_narrator-1.20.1-forge-2025.12.23.jar","False","True","False"
"resourcefulconfig-forge-1.20.1-2.1.3.jar","True","True","False"
"resourcefullib-forge-1.20.1-2.1.29.jar","True","True","False"
"rhino-forge-2001.2.3-build.10.jar","True","True","False"
"ribbits-stub-0.0.0.jar","True","True","False"
"RoE_Weapons-0.1.7.jar","True","True","True"
"saintsdragons-1.20.1-0.6.1-FORGE-ALPHA.jar","True","True","False"
"servercore-forge-1.5.2+1.20.1.jar","True","True","False"
"ShoulderSurfing-Forge-1.20.1-4.22.3.jar","True","True","False"
"smoothchunk-1.20.1-4.1.jar","False","True","False"
"smsn-forge-1.3.8-1.20.1.jar","True","True","False"
"sodiumdynamiclights-forge-1.0.10-1.20.1.jar","False","True","False"
"sound-physics-remastered-forge-1.20.1-1.5.1.jar","True","True","False"
"spark-1.10.53-forge.jar","True","True","False"
"starlight-1.1.2+forge.1cda73c.jar","True","True","False"
"structure_gel-1.20.1-2.16.2.jar","True","True","False"
"structure_layout_optimizer-forge-1.0.11.jar","True","True","False"
"summoningrituals-forge-1.20.1-2.0.8.jar","True","True","False"
"super_golem-20.12.2.jar","True","True","False"
"super_warden-20.13.0.jar","True","True","False"
"supplementaries-1.20-3.1.42-forge.jar","True","True","False"
"swem-1.20.1-1.6.5.jar","True","True","False"
"sword_soaring-20.14.2.7-mc1.20.1-forge.jar","True","True","False"
"Tab-Stats-1.20-1.0.5.jar","True","True","False"
"TaxFreeLevels-1.4.14-forge-1.20.1.jar","True","True","False"
"tcr_bosses-1.0.18-all.jar","True","True","False"
"tcrcore-2.2.3.jar","True","True","False"
"tcrmeshes-1.0.0.jar","True","True","False"
"tcrmodfilter-1.0.6.jar","False","True","False"
"tectonic-forge-1.20.1-2.4.1.jar","True","True","True"
"TerraBlender-forge-1.20.1-3.0.1.10.jar","True","True","False"
"The-Harvest-1.20.1-1.1.3.jar","True","True","True"
"tlc_forge-1.0.3-R-1.20.X.jar","True","True","False"
"Towns-and-Towers-1.12-Fabric+Forge.jar","True","True","False"
"TravelersTitles-1.20-Forge-4.0.2.jar","True","True","False"
"trek-B0.6.jar","True","True","False"
"uniqueaccessories-1.3.3-forge-mc1.20.1.jar","True","True","False"
"visual_keybinder-1.20.1 - 0.1.12.jar","False","True","False"
"voicechat-forge-1.20.1-2.6.9.jar","False","False","True"
"void_mns_prof_compat-0.0.1.jar","True","True","False"
"waystones-forge-1.20.1-14.1.20.jar","True","True","False"
"WeaponsOfMiracles-2.0.15-mc1.20.1-forge.jar","True","True","False"
"WeaponsOfMiracles-20.1.8.5.6.jar","False","False","True"
"worldedit-mod-7.2.15.jar","True","True","False"
"wraithon-forge1.20.1-1.1.11.jar","True","True","False"
"xaerominimap-forge-1.20.1-25.3.10.jar","True","True","False"
"xaeroworldmap-forge-1.20.1-1.40.11.jar","True","True","False"
"yet_another_config_lib_v3-3.6.6+1.20.1-forge.jar","True","True","False"
"YouDied-1.20-3.0.0.17-forge.jar","False","True","False"
"YungsApi-1.20-Forge-4.0.6.jar","True","True","False"
"YungsBetterEndIsland-1.20-Forge-2.0.6.jar","True","True","False"
"Zeta-1.0-31.jar","True","True","False"
"zmedievalmusic-1.20.1-2.2.jar","False","True","False"
